"title","average_payment"
"Conversation Downhill","6.7547058823529412"
"Core Suit","5.8025000000000000"
"Creepers Kane","5.9900000000000000"
"Crusade Honey","6.4185714285714286"
"Daddy Pittsburgh","5.8081818181818182"
"Daisy Menagerie","6.1328571428571429"
"Dangerous Uptown","5.5733333333333333"
"Darko Dorado","7.2900000000000000"
"Darling Breaking","5.6150000000000000"
"Darn Forrester","5.1664705882352941"
"Daughter Madigan","7.7677777777777778"
"Dawn Pond","7.1076470588235294"
"Day Unfaithful","7.8233333333333333"
"Deep Crusade","5.8361538461538462"
"Desert Poseidon","6.2531578947368421"
"Desperate Trainspotting","5.3233333333333333"
"Destiny Saturday","6.1233333333333333"
"Details Packer","7.1566666666666667"
"Devil Desire","5.6328571428571429"
"Dogma Family","6.0257142857142857"
"Doors President","6.6011111111111111"
"Dorado Notting","6.3990909090909091"
"Doubtfire Labyrinth","5.8788888888888889"
"Dozen Lion","5.3233333333333333"
"Dragonfly Strangers","5.7757142857142857"
"Drifter Commandments","5.9900000000000000"
"Driving Polish","5.5689473684210526"
"Drop Waterfront","5.4900000000000000"
"Dude Blindness","6.9900000000000000"
"Durham Panky","5.5316666666666667"
"Dying Maker","5.5900000000000000"
"Eagles Panky","7.0952631578947368"
"Early Home","6.1566666666666667"
"Easy Gladiator","6.6400000000000000"
"Edge Kissing","6.1438461538461538"
"Egg Igby","5.2005263157894737"
"Element Freddy","5.6900000000000000"
"Elephant Trojan","6.4900000000000000"
"Elf Murder","5.8233333333333333"
"Elizabeth Shane","5.2757142857142857"
"Enemy Odds","6.3900000000000000"
"Eve Resurrection","5.8471428571428571"
"Expecations Natural","5.9900000000000000"
"Falcon Volume","5.9338888888888889"
"Fellowship Autumn","5.7400000000000000"
"Fever Empire","6.7900000000000000"
"Fiddler Lost","6.4900000000000000"
"Fidelity Devil","6.5455555555555556"
"Fire Wolves","5.7042857142857143"
"Flamingos Connecticut","6.1263636363636364"
"Flash Wars","7.3233333333333333"
"Flight Lies","5.7400000000000000"
"Flintstones Happiness","7.9311764705882353"
"Fool Mockingbird","7.7519047619047619"
"Forrester Comancheros","5.4515384615384615"
"Freddy Storm","5.5138095238095238"
"French Holiday","5.9275000000000000"
"Frisco Forrest","5.9900000000000000"
"Frontier Cabin","5.9900000000000000"
"Fugitive Maguire","5.1718181818181818"
"Galaxy Sweethearts","6.6150000000000000"
"Games Bowfinger","5.2400000000000000"
"Garden Island","7.4900000000000000"
"Ghost Groundhog","5.6742105263157895"
"Gold River","6.7757142857142857"
"Goodfellas Salute","6.5900000000000000"
"Gorgeous Bingo","5.5782352941176471"
"Gosford Donnie","6.1150000000000000"
"Graceland Dynamite","6.3233333333333333"
"Grail Frankenstein","5.1150000000000000"
"Grinch Massage","5.4900000000000000"
"Grosse Wonderful","5.8650000000000000"
"Groundhog Uncut","5.6328571428571429"
"Gunfighter Mussolini","5.8990909090909091"
"Guys Falcon","6.6150000000000000"
"Hall Cassidy","6.1775000000000000"
"Hanging Deep","6.1900000000000000"
"Hanover Galaxy","5.8471428571428571"
"Harry Idaho","6.5825925925925926"
"Haunted Antitrust","5.3233333333333333"
"Head Stranger","6.7995238095238095"
"Heartbreakers Bright","6.6400000000000000"
"Heavenly Gun","5.4900000000000000"
"Heavyweights Beast","5.6263636363636364"
"High Encino","5.6090476190476190"
"Holes Brannigan","5.0573333333333333"
"Holiday Games","5.5233333333333333"
"Home Pity","5.5733333333333333"
"Hoosiers Birdcage","5.2400000000000000"
"Hotel Happiness","5.2400000000000000"
"Human Graffiti","5.3900000000000000"
"Hunchback Impossible","6.8135294117647059"
"Hustler Party","8.6718181818181818"
"Hysterical Grail","5.8566666666666667"
"Igby Maker","5.2841176470588235"
"Image Princess","5.4900000000000000"
"Impossible Prejudice","5.3471428571428571"
"Inch Jet","5.3233333333333333"
"Informer Double","5.5900000000000000"
"Innocent Usual","7.3746153846153846"
"Interview Liaisons","6.1566666666666667"
"Intolerable Intentions","5.7042857142857143"
"Iron Moon","5.0900000000000000"
"Ishtar Rocketeer","7.1566666666666667"
"Italian African","6.4900000000000000"
"Jeepers Wedding","5.4515384615384615"
"Jericho Mulan","5.9900000000000000"
"Jerk Paycheck","5.5163157894736842"
"Jersey Sassy","6.6566666666666667"
"Jet Neighbors","5.4605882352941176"
"Jingle Sagebrush","5.4445454545454545"
"King Evolution","7.4900000000000000"
"Kiss Glory","6.0376190476190476"
"Kissing Dolls","7.1076470588235294"
"Kramer Chocolate","5.3233333333333333"
"Lady Stage","7.1150000000000000"
"Lambs Cincinatti","5.7900000000000000"
"Lawless Vision","5.1240000000000000"
"League Hellfighters","6.2252941176470588"
"Liaisons Sweet","6.0376190476190476"
"Liberty Magnificent","6.1718181818181818"
"Lies Treatment","5.4900000000000000"
"Lola Agent","6.7291304347826087"
"Lolita World","5.1011111111111111"
"Lonely Elephant","5.0669230769230769"
"Loser Hustler","5.9900000000000000"
"Lost Bird","5.0900000000000000"
"Lover Truman","6.1011111111111111"
"Madigan Dorado","6.1150000000000000"
"Magnificent Chitty","6.8650000000000000"
"Maiden Home","6.9445454545454545"
"Maltese Hope","5.6566666666666667"
"Massacre Usual","5.9900000000000000"
"Massage Image","5.1718181818181818"
"Matrix Snowman","5.1150000000000000"
"Meet Chocolate","5.1718181818181818"
"Memento Zoolander","6.8361538461538462"
"Mermaid Insects","6.3233333333333333"
"Midsummer Groundhog","7.2122222222222222"
"Million Ace","6.1076470588235294"
"Minds Truman","7.6215789473684211"
"Mine Titans","8.1664705882352941"
"Miracle Virtual","5.2400000000000000"
"Mission Zoolander","6.9275000000000000"
"Mod Secretary","5.4344444444444444"
"Model Fish","5.9130769230769231"
"Money Harold","5.5900000000000000"
"Monsoon Cause","6.1011111111111111"
"Moonshine Cabin","6.5900000000000000"
"Moonwalker Fool","6.8990909090909091"
"Movie Shakespeare","5.4686956521739130"
"Musketeers Wait","5.5233333333333333"
"Name Detective","5.9900000000000000"
"Nightmare Chill","7.0852380952380952"
"North Tequila","5.7677777777777778"
"Nuts Ties","5.9900000000000000"
"October Submarine","5.7900000000000000"
"Open African","5.4636842105263158"
"Opposite Necklace","5.1718181818181818"
"Opus Ice","6.0900000000000000"
"Outlaw Hanky","5.2757142857142857"
"Panic Club","7.4185714285714286"
"Panky Submarine","7.2400000000000000"
"Panther Reds","5.9900000000000000"
"Park Citizen","8.1566666666666667"
"Past Suicides","5.5733333333333333"
"Paths Control","8.1900000000000000"
"Paycheck Wait","6.3650000000000000"
"Peach Innocent","6.2200000000000000"
"Peak Forever","5.2677777777777778"
"Pelican Comforts","7.2073913043478261"
"Philadelphia Wife","5.1333333333333333"
"Pickup Driving","6.2566666666666667"
"Pinocchio Simon","6.6566666666666667"
"Pittsburgh Hunchback","7.6263636363636364"
"Pity Bound","6.0334782608695652"
"Platoon Instinct","5.1150000000000000"
"Pluto Oleander","5.6823076923076923"
"Poseidon Forever","5.9311764705882353"
"Prejudice Oleander","5.8321052631578947"
"President Bang","5.9900000000000000"
"Princess Giant","5.0737500000000000"
"Private Drop","5.3900000000000000"
"Punk Divorce","5.9900000000000000"
"Pure Runner","5.9900000000000000"
"Queen Luke","6.1328571428571429"
"Quills Bull","5.9900000000000000"
"Rage Games","6.3057894736842105"
"Raging Airplane","6.4900000000000000"
"Range Moonwalker","6.9030434782608696"
"Records Zorro","5.5614285714285714"
"Redemption Comforts","5.6900000000000000"
"Reds Pocus","5.9900000000000000"
"Reign Gentlemen","5.5689473684210526"
"Requiem Tycoon","5.8788888888888889"
"Right Cranes","5.2900000000000000"
"Road Roxanne","6.8135294117647059"
"Rocky War","6.8361538461538462"
"Roses Treasure","5.9900000000000000"
"Rules Human","6.0669230769230769"
"Sabrina Midnight","6.0376190476190476"
"Sagebrush Clueless","5.9900000000000000"
"Satisfaction Confidential","7.6775000000000000"
"Saturday Lambs","7.3361538461538462"
"Saturn Name","5.4515384615384615"
"Scalawag Duck","5.4382758620689655"
"Scarface Bang","6.6775000000000000"
"School Jacket","5.9900000000000000"
"Scorpion Apollo","7.5614285714285714"
"Searchers Wait","5.4185714285714286"
"Seattle Expecations","6.6210526315789474"
"Secret Groundhog","5.5689473684210526"
"Secretary Rouge","6.2677777777777778"
"Secrets Paradise","7.7677777777777778"
"Sense Greek","6.8471428571428571"
"Sensibility Rear","5.2900000000000000"
"Seven Swarm","6.1900000000000000"
"Shawshank Bubble","5.7794736842105263"
"Show Lord","6.6263636363636364"
"Silverado Goldfinger","7.6566666666666667"
"Slacker Liaisons","5.4275000000000000"
"Sleeping Suspects","5.5354545454545455"
"Sleepless Monsoon","6.1076470588235294"
"Smile Earring","5.8900000000000000"
"Snatch Slipper","5.8900000000000000"
"Soldiers Evolution","5.2757142857142857"
"Something Duck","6.7122222222222222"
"Sons Interview","5.4178571428571429"
"Spartacus Cheaper","6.7677777777777778"
"Speed Suit","5.6150000000000000"
"Spice Sorority","5.6215789473684211"
"Stagecoach Armageddon","6.0334782608695652"
"Steel Santa","6.2172727272727273"
"Steers Armageddon","5.7233333333333333"
"Stepmom Dream","5.2531578947368421"
"Sting Personal","7.4900000000000000"
"Stranger Strangers","6.5900000000000000"
"Strangers Graffiti","7.4900000000000000"
"Streetcar Intentions","5.9900000000000000"
"Submarine Bed","6.0669230769230769"
"Sugar Wonka","6.2566666666666667"
"Suit Walls","7.0952631578947368"
"Sunrise League","7.0809090909090909"
"Super Wyoming","6.5733333333333333"
"Sweden Shining","6.3643750000000000"
"Sweet Brotherhood","5.3536363636363636"
"Tarzan Videotape","5.1150000000000000"
"Teen Apollo","7.8471428571428571"
"Telegraph Voyage","8.6300000000000000"
"Temple Attraction","5.7900000000000000"
"Tequila Past","5.4900000000000000"
"Terminator Club","6.6566666666666667"
"Thief Pelican","6.1150000000000000"
"Thin Sagebrush","6.7172727272727273"
"Ties Hunger","7.7677777777777778"
"Titanic Boondock","6.8081818181818182"
"Titans Jerk","6.9159259259259259"
"Torque Bound","7.3808695652173913"
"Tourist Pelican","6.6742105263157895"
"Trading Pinocchio","5.8160869565217391"
"Train Bunch","6.2400000000000000"
"Trainspotting Strangers","5.2122222222222222"
"Trap Guys","7.9900000000000000"
"Trip Newton","5.2207692307692308"
"Truman Crazy","5.2400000000000000"
"Tuxedo Mile","5.9130769230769231"
"Twisted Pirates","6.0809090909090909"
"Tycoon Gathering","8.6566666666666667"
"Undefeated Dalmations","5.4110526315789474"
"Usual Untouchables","5.4900000000000000"
"Vampire Whale","6.3536363636363636"
"Vanilla Day","5.8788888888888889"
"Velvet Terminator","6.6421739130434783"
"Videotape Arsenic","6.1983333333333333"
"Virgin Daisy","5.4275000000000000"
"Virtual Spoilers","8.1438461538461538"
"Wanda Chamber","5.4900000000000000"
"War Notting","5.4900000000000000"
"Wash Heavenly","5.2400000000000000"
"Waterfront Deliverance","7.3025000000000000"
"Werewolf Lola","5.7400000000000000"
"West Lion","6.6328571428571429"
"Whale Bikini","7.5900000000000000"
"Whisperer Giant","7.0900000000000000"
"Wife Turn","7.3603703703703704"
"Witches Panic","5.8700000000000000"
"Wizard Coldblooded","6.0566666666666667"
"Wonderful Drop","5.8650000000000000"
"Wonderland Christmas","6.7995238095238095"
"Words Hunter","5.2757142857142857"
"Working Microcosmos","6.5809090909090909"
"Wyoming Storm","5.6263636363636364"
"Yentl Idaho","5.8471428571428571"
"Zorro Ark","7.1328571428571429"
